DateTime,Program,Iterations,Resolution,Width,Height,Step,Scheduling,Threads,Time (seconds)
Oct 20 2024 00:24:03,mandelbrot_amd_ext_DYNAMIC.exe,1000,1000,3000,2000,0.001,DYNAMIC,1,3.52138
Oct 20 2024 00:24:14,mandelbrot_amd_ext_DYNAMIC.exe,2000,1000,3000,2000,0.001,DYNAMIC,1,7.0848
Oct 20 2024 00:24:38,mandelbrot_amd_ext_DYNAMIC.exe,4000,1000,3000,2000,0.001,DYNAMIC,1,14.2809
Oct 20 2024 00:25:02,mandelbrot_amd_ext_DYNAMIC.exe,1000,2000,6000,4000,0.0005,DYNAMIC,1,14.8655
Oct 20 2024 00:25:49,mandelbrot_amd_ext_DYNAMIC.exe,2000,2000,6000,4000,0.0005,DYNAMIC,1,34.2659
Oct 20 2024 00:27:21,mandelbrot_amd_ext_DYNAMIC.exe,4000,2000,6000,4000,0.0005,DYNAMIC,1,58.8986
Oct 20 2024 00:28:54,mandelbrot_amd_ext_DYNAMIC.exe,1000,4000,12000,8000,0.00025,DYNAMIC,1,58.609
Oct 20 2024 00:32:00,mandelbrot_amd_ext_DYNAMIC.exe,2000,4000,12000,8000,0.00025,DYNAMIC,1,113.886
Oct 20 2024 00:38:02,mandelbrot_amd_ext_DYNAMIC.exe,4000,4000,12000,8000,0.00025,DYNAMIC,1,226.527
Oct 20 2024 00:44:12,mandelbrot_amd_ext_DYNAMIC.exe,1000,8000,24000,16000,0.000125,DYNAMIC,1,228.654
Nov 03 2024 19:24:56,mandelbrot_amd_ext_DYNAMIC.exe,2000,8000,24000,16000,0.000125,DYNAMIC,1,451.749
Nov 03 2024 19:49:32,mandelbrot_amd_ext_DYNAMIC.exe,4000,8000,24000,16000,0.000125,DYNAMIC,1,896.96
Dec 28 2024 13:14:41,mandelbrot_amd_ext_DYNAMIC.exe,1000,1000,3000,2000,0.001,DYNAMIC,2,2.12938
Dec 28 2024 13:14:47,mandelbrot_amd_ext_DYNAMIC.exe,2000,1000,3000,2000,0.001,DYNAMIC,2,4.08609
Dec 28 2024 13:14:56,mandelbrot_amd_ext_DYNAMIC.exe,4000,1000,3000,2000,0.001,DYNAMIC,2,8.53279
Dec 28 2024 13:15:07,mandelbrot_amd_ext_DYNAMIC.exe,1000,2000,6000,4000,0.0005,DYNAMIC,2,8.62719
Dec 28 2024 13:15:26,mandelbrot_amd_ext_DYNAMIC.exe,2000,2000,6000,4000,0.0005,DYNAMIC,2,17.0755
Dec 28 2024 13:16:04,mandelbrot_amd_ext_DYNAMIC.exe,4000,2000,6000,4000,0.0005,DYNAMIC,2,33.5716
Dec 28 2024 13:16:48,mandelbrot_amd_ext_DYNAMIC.exe,1000,4000,12000,8000,0.00025,DYNAMIC,2,35.0532
Dec 28 2024 13:18:10,mandelbrot_amd_ext_DYNAMIC.exe,2000,4000,12000,8000,0.00025,DYNAMIC,2,68.0894
Dec 28 2024 13:20:45,mandelbrot_amd_ext_DYNAMIC.exe,4000,4000,12000,8000,0.00025,DYNAMIC,2,135.755
Dec 28 2024 13:23:32,mandelbrot_amd_ext_DYNAMIC.exe,1000,8000,24000,16000,0.000125,DYNAMIC,2,143.602
Dec 28 2024 13:29:09,mandelbrot_amd_ext_DYNAMIC.exe,2000,8000,24000,16000,0.000125,DYNAMIC,2,277.466
Dec 28 2024 13:39:31,mandelbrot_amd_ext_DYNAMIC.exe,4000,8000,24000,16000,0.000125,DYNAMIC,2,543.557
Dec 28 2024 13:40:10,mandelbrot_amd_ext_DYNAMIC.exe,1000,1000,3000,2000,0.001,DYNAMIC,4,1.21906
Dec 28 2024 13:40:13,mandelbrot_amd_ext_DYNAMIC.exe,2000,1000,3000,2000,0.001,DYNAMIC,4,2.37241
Dec 28 2024 13:40:18,mandelbrot_amd_ext_DYNAMIC.exe,4000,1000,3000,2000,0.001,DYNAMIC,4,4.60581
Dec 28 2024 13:40:24,mandelbrot_amd_ext_DYNAMIC.exe,1000,2000,6000,4000,0.0005,DYNAMIC,4,4.94131
Dec 28 2024 13:40:36,mandelbrot_amd_ext_DYNAMIC.exe,2000,2000,6000,4000,0.0005,DYNAMIC,4,9.48052
Dec 28 2024 13:41:00,mandelbrot_amd_ext_DYNAMIC.exe,4000,2000,6000,4000,0.0005,DYNAMIC,4,19.1055
Dec 28 2024 13:41:25,mandelbrot_amd_ext_DYNAMIC.exe,1000,4000,12000,8000,0.00025,DYNAMIC,4,19.6306
Dec 28 2024 13:42:15,mandelbrot_amd_ext_DYNAMIC.exe,2000,4000,12000,8000,0.00025,DYNAMIC,4,38.2738
Dec 28 2024 13:43:44,mandelbrot_amd_ext_DYNAMIC.exe,4000,4000,12000,8000,0.00025,DYNAMIC,4,75.2523
Dec 28 2024 13:45:21,mandelbrot_amd_ext_DYNAMIC.exe,1000,8000,24000,16000,0.000125,DYNAMIC,4,79.0571
Dec 28 2024 13:48:42,mandelbrot_amd_ext_DYNAMIC.exe,2000,8000,24000,16000,0.000125,DYNAMIC,4,154.124
Dec 28 2024 13:54:44,mandelbrot_amd_ext_DYNAMIC.exe,4000,8000,24000,16000,0.000125,DYNAMIC,4,303.238
Dec 28 2024 13:55:19,mandelbrot_amd_ext_DYNAMIC.exe,1000,1000,3000,2000,0.001,DYNAMIC,8,0.697415
Dec 28 2024 13:55:21,mandelbrot_amd_ext_DYNAMIC.exe,2000,1000,3000,2000,0.001,DYNAMIC,8,1.33811
Dec 28 2024 13:55:24,mandelbrot_amd_ext_DYNAMIC.exe,4000,1000,3000,2000,0.001,DYNAMIC,8,2.66628
Dec 28 2024 13:55:28,mandelbrot_amd_ext_DYNAMIC.exe,1000,2000,6000,4000,0.0005,DYNAMIC,8,2.71778
