DateTime,Program,Iterations,Resolution,Width,Height,Step,Scheduling,Time (seconds)
Dec 24 2024 13:52:21,mandelbrot_amd_seq.exe,1000,1000,3000,2000,0.001,,3.69722
Dec 24 2024 13:52:29,mandelbrot_amd_seq.exe,2000,1000,3000,2000,0.001,,7.18457
Dec 24 2024 13:52:47,mandelbrot_amd_seq.exe,4000,1000,3000,2000,0.001,,14.3001
Dec 24 2024 13:53:02,mandelbrot_amd_seq.exe,1000,2000,6000,4000,0.0005,,14.5485
Dec 24 2024 13:53:36,mandelbrot_amd_seq.exe,2000,2000,6000,4000,0.0005,,28.2592
Dec 24 2024 13:54:42,mandelbrot_amd_seq.exe,4000,2000,6000,4000,0.0005,,56.4105
Dec 24 2024 13:55:49,mandelbrot_amd_seq.exe,1000,4000,12000,8000,0.00025,,57.5584
Dec 24 2024 13:58:06,mandelbrot_amd_seq.exe,2000,4000,12000,8000,0.00025,,113.408
Dec 24 2024 14:02:24,mandelbrot_amd_seq.exe,4000,4000,12000,8000,0.00025,,226.171
Dec 24 2024 14:06:50,mandelbrot_amd_seq.exe,1000,8000,24000,16000,0.000125,,228.167
Dec 24 2024 14:15:52,mandelbrot_amd_seq.exe,2000,8000,24000,16000,0.000125,,451.177
Dec 24 2024 14:32:59,mandelbrot_amd_seq.exe,4000,8000,24000,16000,0.000125,,896.245
