DateTime,Program,Iterations,Resolution,Width,Height,Step,CUDAThreads,Time (seconds)
Oct 20 2024 13:51:09,mandelbrot_cuda.exe,1000,1000,3000,2000,0.001,2,4.24221
Oct 20 2024 13:51:18,mandelbrot_cuda.exe,2000,1000,3000,2000,0.001,2,8.06197
Oct 20 2024 13:51:35,mandelbrot_cuda.exe,4000,1000,3000,2000,0.001,2,15.935
Oct 20 2024 13:51:53,mandelbrot_cuda.exe,1000,2000,6000,4000,0.0005,2,16.4264
Oct 20 2024 13:52:29,mandelbrot_cuda.exe,2000,2000,6000,4000,0.0005,2,32.4907
Oct 20 2024 13:53:36,mandelbrot_cuda.exe,4000,2000,6000,4000,0.0005,2,64.5086
Oct 20 2024 13:54:46,mandelbrot_cuda.exe,1000,4000,12000,8000,0.00025,2,66.178
Oct 20 2024 13:57:17,mandelbrot_cuda.exe,2000,4000,12000,8000,0.00025,2,139.467
Oct 20 2024 14:02:20,mandelbrot_cuda.exe,4000,4000,12000,8000,0.00025,2,290.635
Oct 20 2024 14:07:17,mandelbrot_cuda.exe,1000,8000,24000,16000,0.000125,2,284.385
Oct 20 2024 14:16:50,mandelbrot_cuda.exe,2000,8000,24000,16000,0.000125,2,532.693
Oct 20 2024 14:35:16,mandelbrot_cuda.exe,4000,8000,24000,16000,0.000125,2,1067.24
Oct 20 2024 14:35:59,mandelbrot_cuda.exe,1000,1000,3000,2000,0.001,4,1.29486
Oct 20 2024 14:36:03,mandelbrot_cuda.exe,2000,1000,3000,2000,0.001,4,2.36165
Oct 20 2024 14:36:09,mandelbrot_cuda.exe,4000,1000,3000,2000,0.001,4,4.60425
Oct 20 2024 14:36:15,mandelbrot_cuda.exe,1000,2000,6000,4000,0.0005,4,4.71935
Oct 20 2024 14:36:28,mandelbrot_cuda.exe,2000,2000,6000,4000,0.0005,4,9.6223
Oct 20 2024 14:36:51,mandelbrot_cuda.exe,4000,2000,6000,4000,0.0005,4,18.7
Oct 20 2024 14:37:13,mandelbrot_cuda.exe,1000,4000,12000,8000,0.00025,4,18.8451
Oct 20 2024 14:38:02,mandelbrot_cuda.exe,2000,4000,12000,8000,0.00025,4,36.7607
Oct 20 2024 14:39:22,mandelbrot_cuda.exe,4000,4000,12000,8000,0.00025,4,69.2334
Oct 20 2024 14:40:48,mandelbrot_cuda.exe,1000,8000,24000,16000,0.000125,4,71.5398
Oct 20 2024 14:43:46,mandelbrot_cuda.exe,2000,8000,24000,16000,0.000125,4,137.95
Oct 20 2024 14:48:59,mandelbrot_cuda.exe,4000,8000,24000,16000,0.000125,4,273.82
Oct 20 2024 14:49:39,mandelbrot_cuda.exe,1000,1000,3000,2000,0.001,8,0.677885
Oct 20 2024 14:49:41,mandelbrot_cuda.exe,2000,1000,3000,2000,0.001,8,1.10974
