DateTime,Program,Iterations,Resolution,Width,Height,Step,Scheduling,Threads,Time (seconds)
Dec 22 2024 19:59:52,mandelbrot_g++_DYNAMIC.exe,1000,1000,3000,2000,0.001,DYNAMIC,2,2.1042
Dec 22 2024 19:59:57,mandelbrot_g++_DYNAMIC.exe,2000,1000,3000,2000,0.001,DYNAMIC,2,4.03669
Dec 22 2024 20:00:09,mandelbrot_g++_DYNAMIC.exe,4000,1000,3000,2000,0.001,DYNAMIC,2,7.90857
Dec 22 2024 20:00:18,mandelbrot_g++_DYNAMIC.exe,1000,2000,6000,4000,0.0005,DYNAMIC,2,8.48954
Dec 22 2024 20:00:37,mandelbrot_g++_DYNAMIC.exe,2000,2000,6000,4000,0.0005,DYNAMIC,2,16.4313
Dec 22 2024 20:01:15,mandelbrot_g++_DYNAMIC.exe,4000,2000,6000,4000,0.0005,DYNAMIC,2,31.7191
Dec 22 2024 20:01:59,mandelbrot_g++_DYNAMIC.exe,1000,4000,12000,8000,0.00025,DYNAMIC,2,33.8142
Dec 22 2024 20:03:22,mandelbrot_g++_DYNAMIC.exe,2000,4000,12000,8000,0.00025,DYNAMIC,2,66.6942
Dec 22 2024 20:05:56,mandelbrot_g++_DYNAMIC.exe,4000,4000,12000,8000,0.00025,DYNAMIC,2,128.088
Dec 22 2024 20:08:41,mandelbrot_g++_DYNAMIC.exe,1000,8000,24000,16000,0.000125,DYNAMIC,2,136.92
Dec 22 2024 20:14:14,mandelbrot_g++_DYNAMIC.exe,2000,8000,24000,16000,0.000125,DYNAMIC,2,261.998
Dec 22 2024 20:24:21,mandelbrot_g++_DYNAMIC.exe,4000,8000,24000,16000,0.000125,DYNAMIC,2,508.602
Dec 22 2024 20:25:05,mandelbrot_g++_DYNAMIC.exe,1000,1000,3000,2000,0.001,DYNAMIC,4,1.17755
Dec 22 2024 20:25:08,mandelbrot_g++_DYNAMIC.exe,2000,1000,3000,2000,0.001,DYNAMIC,4,2.16581
Dec 22 2024 20:25:17,mandelbrot_g++_DYNAMIC.exe,4000,1000,3000,2000,0.001,DYNAMIC,4,4.117
Dec 22 2024 20:25:22,mandelbrot_g++_DYNAMIC.exe,1000,2000,6000,4000,0.0005,DYNAMIC,4,4.5939
Dec 22 2024 20:25:33,mandelbrot_g++_DYNAMIC.exe,2000,2000,6000,4000,0.0005,DYNAMIC,4,8.37495
Dec 22 2024 20:25:56,mandelbrot_g++_DYNAMIC.exe,4000,2000,6000,4000,0.0005,DYNAMIC,4,16.8699
Dec 22 2024 20:26:19,mandelbrot_g++_DYNAMIC.exe,1000,4000,12000,8000,0.00025,DYNAMIC,4,18.6782
Dec 22 2024 20:27:11,mandelbrot_g++_DYNAMIC.exe,2000,4000,12000,8000,0.00025,DYNAMIC,4,35.3323
Dec 22 2024 20:28:36,mandelbrot_g++_DYNAMIC.exe,4000,4000,12000,8000,0.00025,DYNAMIC,4,66.6352
Dec 22 2024 20:30:11,mandelbrot_g++_DYNAMIC.exe,1000,8000,24000,16000,0.000125,DYNAMIC,4,72.9781
Dec 22 2024 20:33:26,mandelbrot_g++_DYNAMIC.exe,2000,8000,24000,16000,0.000125,DYNAMIC,4,138.078
Dec 22 2024 20:39:03,mandelbrot_g++_DYNAMIC.exe,4000,8000,24000,16000,0.000125,DYNAMIC,4,263.425
Dec 22 2024 20:39:46,mandelbrot_g++_DYNAMIC.exe,1000,1000,3000,2000,0.001,DYNAMIC,8,0.641627
Dec 22 2024 20:39:47,mandelbrot_g++_DYNAMIC.exe,2000,1000,3000,2000,0.001,DYNAMIC,8,1.1656
Dec 22 2024 20:39:50,mandelbrot_g++_DYNAMIC.exe,4000,1000,3000,2000,0.001,DYNAMIC,8,2.19207
Dec 22 2024 20:39:54,mandelbrot_g++_DYNAMIC.exe,1000,2000,6000,4000,0.0005,DYNAMIC,8,2.68653
Dec 22 2024 20:40:02,mandelbrot_g++_DYNAMIC.exe,2000,2000,6000,4000,0.0005,DYNAMIC,8,4.57586
Dec 22 2024 20:40:17,mandelbrot_g++_DYNAMIC.exe,4000,2000,6000,4000,0.0005,DYNAMIC,8,8.74612
Dec 22 2024 20:40:31,mandelbrot_g++_DYNAMIC.exe,1000,4000,12000,8000,0.00025,DYNAMIC,8,10.6332
Dec 22 2024 20:41:02,mandelbrot_g++_DYNAMIC.exe,2000,4000,12000,8000,0.00025,DYNAMIC,8,18.2016
Dec 22 2024 20:41:52,mandelbrot_g++_DYNAMIC.exe,4000,4000,12000,8000,0.00025,DYNAMIC,8,35.6431
Dec 22 2024 20:42:53,mandelbrot_g++_DYNAMIC.exe,1000,8000,24000,16000,0.000125,DYNAMIC,8,42.5311
Dec 22 2024 20:45:01,mandelbrot_g++_DYNAMIC.exe,2000,8000,24000,16000,0.000125,DYNAMIC,8,81.3577
Dec 22 2024 20:48:19,mandelbrot_g++_DYNAMIC.exe,4000,8000,24000,16000,0.000125,DYNAMIC,8,158.054
Dec 22 2024 20:49:00,mandelbrot_g++_DYNAMIC.exe,1000,1000,3000,2000,0.001,DYNAMIC,16,0.449322
Dec 22 2024 20:49:02,mandelbrot_g++_DYNAMIC.exe,2000,1000,3000,2000,0.001,DYNAMIC,16,0.810674
Dec 22 2024 20:49:04,mandelbrot_g++_DYNAMIC.exe,4000,1000,3000,2000,0.001,DYNAMIC,16,1.63243
Dec 22 2024 20:49:07,mandelbrot_g++_DYNAMIC.exe,1000,2000,6000,4000,0.0005,DYNAMIC,16,1.7643
Dec 22 2024 20:49:13,mandelbrot_g++_DYNAMIC.exe,2000,2000,6000,4000,0.0005,DYNAMIC,16,3.07156
Dec 22 2024 20:49:22,mandelbrot_g++_DYNAMIC.exe,4000,2000,6000,4000,0.0005,DYNAMIC,16,5.78477
Dec 22 2024 20:49:32,mandelbrot_g++_DYNAMIC.exe,1000,4000,12000,8000,0.00025,DYNAMIC,16,6.96697
Dec 22 2024 20:49:57,mandelbrot_g++_DYNAMIC.exe,2000,4000,12000,8000,0.00025,DYNAMIC,16,12.8808
Dec 22 2024 20:50:34,mandelbrot_g++_DYNAMIC.exe,4000,4000,12000,8000,0.00025,DYNAMIC,16,25.2042
Dec 22 2024 20:51:12,mandelbrot_g++_DYNAMIC.exe,1000,8000,24000,16000,0.000125,DYNAMIC,16,26.8203
Dec 22 2024 20:52:39,mandelbrot_g++_DYNAMIC.exe,2000,8000,24000,16000,0.000125,DYNAMIC,16,48.1256
Dec 22 2024 20:54:58,mandelbrot_g++_DYNAMIC.exe,4000,8000,24000,16000,0.000125,DYNAMIC,16,97.3835
Dec 22 2024 20:55:38,mandelbrot_g++_STATIC.exe,1000,1000,3000,2000,0.001,STATIC,2,2.2612
Dec 22 2024 20:55:43,mandelbrot_g++_STATIC.exe,2000,1000,3000,2000,0.001,STATIC,2,4.37155
Dec 22 2024 20:55:53,mandelbrot_g++_STATIC.exe,4000,1000,3000,2000,0.001,STATIC,2,8.63981
Dec 22 2024 20:56:03,mandelbrot_g++_STATIC.exe,1000,2000,6000,4000,0.0005,STATIC,2,8.91124
Dec 22 2024 20:56:23,mandelbrot_g++_STATIC.exe,2000,2000,6000,4000,0.0005,STATIC,2,17.5448
Dec 22 2024 20:57:01,mandelbrot_g++_STATIC.exe,4000,2000,6000,4000,0.0005,STATIC,2,34.8004
Dec 22 2024 20:57:40,mandelbrot_g++_STATIC.exe,1000,4000,12000,8000,0.00025,STATIC,2,35.5288
Dec 22 2024 20:59:00,mandelbrot_g++_STATIC.exe,2000,4000,12000,8000,0.00025,STATIC,2,69.5739
Dec 22 2024 21:01:29,mandelbrot_g++_STATIC.exe,4000,4000,12000,8000,0.00025,STATIC,2,139.068
Dec 22 2024 21:04:05,mandelbrot_g++_STATIC.exe,1000,8000,24000,16000,0.000125,STATIC,2,144.32
